,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,opinion
0,7.0,0.27,0.36,3.0301337002713233,-3.101092789211817,45.0,170.0,1.001,3.0,0.45,2.174751721484161,1
1,6.3,0.3,0.34,0.47000362924573563,-3.0159349808715104,14.0,132.0,0.994,3.3,0.49,2.2512917986064953,1
2,8.1,0.28,0.4,1.9315214116032138,-2.995732273553991,30.0,97.0,0.9951,3.26,0.44,2.312535423847214,1
3,7.2,0.23,0.32,2.1400661634962708,-2.8473122684357177,47.0,186.0,0.9956,3.19,0.4,2.2925347571405443,1
4,6.2,0.32,0.16,1.9459101490553132,-3.101092789211817,30.0,136.0,0.9949,3.18,0.47,2.2617630984737906,1
5,8.1,0.22,0.43,0.4054651081081644,-3.123565645063876,28.0,129.0,0.9938,3.22,0.45,2.3978952727983707,1
6,8.1,0.27,0.41,0.371563556432483,-3.4112477175156566,11.0,63.0,0.9908,2.99,0.56,2.4849066497880004,0
7,8.6,0.23,0.4,1.4350845252893227,-3.3524072174927233,17.0,109.0,0.9947,3.14,0.53,2.272125885509337,0
8,7.9,0.18,0.37,0.1823215567939546,-3.2188758248682006,16.0,75.0,0.992,3.18,0.63,2.379546134130174,0
9,6.6,0.16,0.4,0.4054651081081644,-3.123565645063876,48.0,143.0,0.9912,3.54,0.52,2.517696472610991,1
10,8.3,0.42,0.62,2.9575110607337933,-3.2188758248682006,41.0,172.0,1.0002,2.98,0.67,2.272125885509337,0
11,6.6,0.17,0.38,0.4054651081081644,-3.4420193761824103,28.0,112.0,0.9914,3.25,0.55,2.4336133554004498,1
12,6.3,0.48,0.04,0.09531017980432493,-3.079113882493042,30.0,99.0,0.9928,3.24,0.36,2.2617630984737906,1
13,7.4,0.34,0.42,0.09531017980432493,-3.4112477175156566,17.0,171.0,0.9917,3.12,0.53,2.424802725718295,1
14,6.5,0.31,0.14,2.0149030205422647,-3.123565645063876,34.0,133.0,0.9955,3.22,0.5,2.2512917986064953,0
15,6.2,0.66,0.48,0.1823215567939546,-3.540459448995663,29.0,75.0,0.9892,3.33,0.39,2.5494451709255714,1
16,6.4,0.31,0.38,1.0647107369924282,-3.270169119255751,19.0,102.0,0.9912,3.17,0.35,2.3978952727983707,1
17,6.8,0.26,0.42,0.5306282510621704,-3.0159349808715104,41.0,122.0,0.993,3.47,0.48,2.3513752571634776,1
18,7.6,0.67,0.14,0.4054651081081644,-2.6036901857779675,25.0,168.0,0.9937,3.05,0.51,2.2300144001592104,0
19,6.6,0.27,0.41,0.26236426446749106,-2.9565115604007097,16.0,142.0,0.9951,3.42,0.47,2.302585092994046,1
20,7.0,0.25,0.32,2.1972245773362196,-3.079113882493042,56.0,245.0,0.9955,3.25,0.5,2.341805806147327,1
